the	23135851162
of	13151942776
and	12997637966
to	12136980858
in	10915537206
a	8469404971
is	5933321709
it	4705743816
that	4485127813
for	3724316051
on	3183110675
with	2998433055
as	2881299358
are	2564633004
this	2216437344
by	2168031353
be	2110813668
or	2039651656
from	1726037341
at	1662736667
an	1619413950
not	1505620251
have	1450143167
was	1436011617
you	1424823934
but	1373859932
we	1295166371
they	1224081750
one	1206029390
all	1131236800
can	1065219530
there	1034386570
so	973393214
if	964467069
more	938537130
when	914321245
do	882008985
about	874792120
out	868984987
up	828153708
what	801042579
which	792935696
into	769203451
them	755715863
could	726457732
then	707810499
some	697129482
these	676513287
two	662507530
over	654210945
its	642872111
after	640050279
time	627203557
only	617019232
also	610233574
like	597232800
new	590807775
than	585488555
first	574286527
any	558126445
such	544612172
because	533084187
how	520847223
most	507514392
other	501102331
very	496251841
would	491502239
your	487923456
our	480124321
has	465451990
had	453002210
were	451110001
made	430332100
been	426551200
their	420990000
may	409771000
between	371002000
those	361100000
use	355440000
used	349990000
always	310100000
means	290000000
structure	180000000
tool	175000000
blade	160000000
handle	150000000
agriculture	125000000
grain	110000000
applications	100000000
questions	98000000
systems	96000000
move	94000000
styles	90000000
style	89000000
teacher	85000000
preferences	84000000
tactics	82000000
expression	81000000
headmaster	80000000
human	79000000
flavor	78000000
salty	60000000
pepper	59000000
curry	58000000
catalogued	42000000
branch	41000000
organization	40000000
founder	39000000
successor	38000000
training	37000000
area	36000000
martial	35000000
ryu	34000000
ryu-ha	33000000
ryu-gi	32000000
bujutsu	15000000
budo	15000000
kiai	12000000
makimono	9000000
ninjutsu	9000000
ninja	9000000
hoplology	6000000
handscrolls	6000000
warrior	5000000
warriors	4800000
warrioRship	4500000
warrioRSHIP	4400000
warriorship	4300000
detemines	2000000
geneologists	2000000
pecple	2000000
cone	2000000
ryubranches	1500000
technicalcharacteristics	1500000
trainingarea	1500000
varieswithevery	1500000
haveite	1500000
hoy	1500000
aiei	1500000
# domain corrections preferred spellings (lower counts so they don't dominate)
determines	100000
genealogists	100000
people	100000
one	100000
ryu	100000
ryu-ha	100000
technical	100000
characteristics	100000
training	100000
varies	100000
with	100000
every	100000
have	100000
it	100000
how	100000
mounted	100000
