# filename, angle_clockwise, is_blurry, has_images, image_count, has_strong_borders
IMG_3288.jpg,0,false,false,0,false
IMG_3289.jpg,0,false,false,0,false
IMG_3290.jpg,180,false,false,0,false
IMG_3291.jpg,270,false,false,0,false
IMG_3292.jpg,270,false,true,2,true
IMG_3293.jpg,0,false,true,2,false
IMG_3294.jpg,0,false,false,0,false
IMG_3295.jpg,0,false,false,0,true
IMG_3296.jpg,0,false,false,0,false
IMG_3297.jpg,0,false,false,0,true
IMG_3298.jpg,0,false,false,0,false
IMG_3299.jpg,180,false,false,0,false
IMG_3300.jpg,0,false,false,0,false
IMG_3301.jpg,0,false,false,0,false
IMG_3302.jpg,0,false,false,0,false
IMG_3303.jpg,0,false,false,0,false
IMG_3304.jpg,0,false,false,0,false
IMG_3305.jpg,0,false,false,0,true
IMG_3306.jpg,0,false,false,0,true
IMG_3307.jpg,0,false,false,0,true
IMG_3308.jpg,180,false,false,0,true
IMG_3309.jpg,270,false,false,0,false
IMG_3310.jpg,270,false,false,0,false
IMG_3311.jpg,270,false,false,0,false
IMG_3312.jpg,270,false,true,1,false
IMG_3313.jpg,270,false,false,0,false
IMG_3314.jpg,270,false,false,0,false
IMG_3315.jpg,270,false,false,0,false
IMG_3316.jpg,270,false,false,0,false
IMG_3317.jpg,270,false,false,0,false
IMG_3318.jpg,270,false,false,0,false
IMG_3319.jpg,270,false,false,0,false
IMG_3320.jpg,270,false,false,0,false
IMG_3321.jpg,270,false,false,0,true
IMG_3322.jpg,270,false,false,0,false
IMG_3323.jpg,270,false,false,0,false
IMG_3324.jpg,270,false,false,0,false
IMG_3325.jpg,270,false,true,2,true
IMG_3326.jpg,270,false,false,0,true
IMG_3327.jpg,0,false,true,3,false
IMG_3328.jpg,0,false,true,1,false
IMG_3329.jpg,0,false,true,3,false
IMG_3330.jpg,0,false,true,5,false
IMG_3331.jpg,0,false,false,0,false
IMG_3332.jpg,0,false,true,3,true
IMG_3333.jpg,0,false,true,1,false
IMG_3334.jpg,0,false,true,3,false
IMG_3335.jpg,0,false,true,1,false
IMG_3336.jpg,0,false,true,1,false
IMG_3337.jpg,0,false,false,0,false
IMG_3338.jpg,0,false,false,0,false
IMG_3339.jpg,0,false,true,4,false
IMG_3340.jpg,0,false,false,1,true
IMG_3341.jpg,270,false,true,4,false
IMG_3342.jpg,270,false,false,0,false
IMG_3343.jpg,270,false,false,0,false
IMG_3344.jpg,270,false,true,1,false
IMG_3345.jpg,270,false,true,1,false
IMG_3346.jpg,270,false,false,0,false
IMG_3347.jpg,270,false,true,1,false
IMG_3348.jpg,180,false,false,0,false
IMG_3349.jpg,180,false,true,1,false
IMG_3350.jpg,180,false,true,1,false
IMG_3351.jpg,180,false,true,1,false
IMG_3352.jpg,180,true,true,3,true
IMG_3353.jpg,180,false,true,1,false
IMG_3354.jpg,180,false,false,0,false
IMG_3355.jpg,0,false,false,0,false
IMG_3356.jpg,0,false,false,0,false
IMG_3357.jpg,0,false,false,0,false
IMG_3358.jpg,0,false,false,0,false
IMG_3359.jpg,0,false,false,0,false
IMG_3360.jpg,0,false,true,3,false
IMG_3361.jpg,0,false,false,3,false
IMG_3362.jpg,0,false,false,0,false
IMG_3363.jpg,180,false,false,0,false
IMG_3364.jpg,180,false,false,0,false
IMG_3365.jpg,180,false,false,0,false
IMG_3366.jpg,180,false,false,0,false
IMG_3367.jpg,180,false,false,0,true
IMG_3368.jpg,180,false,false,0,true
IMG_3369.jpg,180,true,false,0,true
IMG_3370.jpg,180,false,false,0,false
IMG_3371.jpg,180,false,false,0,false
IMG_3372.jpg,180,false,false,0,false
IMG_3373.jpg,180,false,false,0,false
IMG_3374.jpg,180,false,false,0,true
IMG_3375.jpg,180,false,false,0,false
IMG_3376.jpg,180,false,false,0,false
IMG_3377.jpg,180,true,false,0,true
IMG_3378.jpg,180,true,false,0,true
IMG_3379.jpg,180,false,false,0,false
IMG_3380.jpg,180,true,false,0,false
IMG_3381.jpg,270,false,false,0,false
IMG_3382.jpg,270,false,false,0,false
IMG_3383.jpg,270,false,false,0,false
IMG_3384.jpg,270,false,false,0,false
IMG_3385.jpg,270,true,false,0,false
IMG_3386.jpg,270,false,false,0,false
IMG_3387.jpg,270,false,false,0,false
IMG_3388.jpg,270,false,true,2,true
IMG_3389.jpg,270,false,false,0,false
IMG_3390.jpg,270,false,false,0,false
IMG_3391.jpg,180,false,false,0,false
IMG_3392.jpg,180,false,false,0,true
IMG_3393.jpg,180,false,false,0,false
IMG_3394.jpg,180,false,true,1,true
IMG_3395.jpg,180,false,false,0,false
IMG_3396.jpg,180,false,false,0,false
IMG_3397.jpg,180,false,true,3,false
IMG_3398.jpg,0,false,false,0,false
IMG_3399.jpg,0,false,false,0,false

